date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
08/02 04:14,2780635,SteamboatWillie,1156957,Ияр(241) Эде(214) Сол(301) Вер(201) Анг(200),62044906,Пук Пук,966128,Сиг(214) Риг(123) Нов(206) Сол(218) Гип(205),35,,,Д6-130 С6-130,В6-129 С4-125,ГС2 ЭЭ4 ГН2 ТК2,ГС3 ЭЭ3 ГН1 ЗС2,https://www.hero-wars.com?replay_id=1770513282410084604,
08/02 03:41,22919076,seed,1202985,Игн(218) Ияр(245) Ара(218) Сол(305) Мол(218),61882219,Ваван,1098726,Риг(220) Амо(178) Сол(307) Эде(148) Ияр(246),35,,,О6-130 С6-130,С6-130,ЛП3 ПР2 ПВ2 ЗС2,ШГ3 ЭЭ1,https://www.hero-wars.com?replay_id=1770511289519054815,
08/02 03:37,2349788,-Jan-,1207893,Эде(217) Сол(310) Ава(217) Анг(217) Риг(248),61882246,Nergal,1335708,Риг(259) Мор(239) Сол(302) Ияр(231) Тен(305),35,,,Д6-130 С6-130,С6-130 Т6-130,ГС2 ЭЭ3 ПВ3 ЗС3,ГН1 ЗС2 ЛП1 ЭЭ4,https://www.hero-wars.com?replay_id=1770511043648687281,
08/02 03:33,2611210,LG.,1223267,Эде(215) Сол(318) Вер(206) Ава(223) Риг(261),61882156,3.14_ZDETS,919835,Сиг(218) Нов(206) Маи(146) Эде(146) Гип(204),35,,,Д6-130 С6-130,В6-130,ГС4 ЭЭ5 ЛП5 ЗС5,ГС2 ТК4,https://www.hero-wars.com?replay_id=1770510792427483445,
07/02 17:04,61882212,Оди,1255845,Тен(293) Ияр(231) Сол(294) Кер(231) Нов(208),2542898,Legolas,1270315,Риг(265) Анг(238) Сол(310) Эде(221) Сил(237),35,,,Т6-130 С6-130,Д6-130 С6-130,ГН5 ТК3 ЛП4 ЗС5,ГН3 ПД5 ГС3 ТК3,https://www.hero-wars.com?replay_id=1770473052154770815,
07/02 15:13,61882156,3.14_ZDETS,1070269,Игн(191) Ияр(220) Ара(205) Сол(260) Мол(194),2611210,LG.,1234344,Анг(222) Ава(223) Сол(318) Эде(215) Ияр(255),35,,,О6-130 С6-130,Д6-130 С6-130,ПВ2 ЗС4 ГН1 ПР4,ГС4 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1770466435676016509,
07/02 06:15,61958839,Бальдр,1120046,Игн(216) Ара(224) Аше(207) Вул(232) Мол(241),2926577,march,1213759,Анг(233) Ава(217) Сол(304) Эде(217) Ияр(244),35,,,О6-130,Д6-130 С6-130,ТП5 ПД4,ТП2 ЭЭ3 ПВ2 ТК1,https://www.hero-wars.com?replay_id=1770434144226073798,
06/02 20:36,2248703,GOTU,946611,Сил(188) Эде(211) Вер(121) Ава(204) Анг(223),61991077,3ve,923538,Сиг(210) Нов(179) Маи(176) Гип(191) Тен(167),35,,,Д6-128,В6-130,ШГ1 ПР3,ЛП3 ПД3,https://www.hero-wars.com?replay_id=1770399387696344987,
06/02 20:36,2248703,GOTU,1007556,Игн(214) Ара(214) Аше(155) Вул(212) Мол(213),61882177,Rom,713138,Анг(159) Ава(109) Вер(168) Эде(193) Сил(84),35,,,О6-130,Д5-125,ГС1 ПД2,ЛП3 ЭЭ3,https://www.hero-wars.com?replay_id=1770399362224245298,
06/02 19:14,61882317,viktori,1031531,Тен(263) Сол(207) Кер(180) Мор(181) Риг(200),2611210,LG.,1185175,Сиг(215) Нов(216) Маи(215) Гип(225) Тен(314),35,,,Т6-108 С4-91,В6-130,ТП2 ПД3 ГН3 ЗС3,ШГ5 ПД5,https://www.hero-wars.com?replay_id=1770394490953751178,
